DATE,RACE,CLASS,RACE NAME,DIST,SURF,STARTER NAME,PP,ODDS,FAVE,FIN,TRAINER,JOCKEY,TIME,PREV RACE,DAYS,SIRE,NOTES
7/11/19,5,MSW-NY-F,,5.5,Dirt,Big Q,5,14.00,FALSE,1,Gary Gullo,Joel Rosario,1:06.910,,,Big Brown,
7/11/19,5,MSW-NY-F,,5.5,Dirt,Impazible Donna,6,2.45,TRUE,2,Bruce Levine,Luis Saez,1:06.990,,,Mission Impazible,
7/11/19,5,MSW-NY-F,,5.5,Dirt,Funfetti,8,2.65,FALSE,3,Jeremiah Englehart,Jose Ortiz,1:07.434,,,Giant Surprise,
7/11/19,5,MSW-NY-F,,5.5,Dirt,Love Me Tomorrow,2,3.85,FALSE,4,Wesley Ward,Dylan Davis,1:07.514,BEL 5/30 4,42,Mineshaft,
7/11/19,5,MSW-NY-F,,5.5,Dirt,Keypit,7,29.50,FALSE,5,Thomas Albertrani,Jose Lezcano,1:09.409,,,Congrats,
7/11/19,5,MSW-NY-F,,5.5,Dirt,Ghostghostghost,3,3.85,FALSE,6,Steven Asmussen,"Ricardo Santana, Jr.",1:09.772,,,Archarcharch,
7/11/19,5,MSW-NY-F,,5.5,Dirt,Rewarded,9,22.20,FALSE,7,Michael Lauer,Manuel Franco,1:09.934,BEL 6/23 2,18,Central Banker,
7/11/19,5,MSW-NY-F,,5.5,Dirt,Time Shift,1,37.50,FALSE,8,Philip Serpe,Eric Cancel,1:10.700,,,Union Rags,
7/11/19,5,MSW-NY-F,,5.5,Dirt,Helen by Night,4,17.70,FALSE,9,Rudy Rodriguez,Javier Castellano,1:14.288,,,Rule by Night,
7/11/19,8,GRD-F,Schuylerville S.,6,Dirt,Comical,5,3.10,FALSE,1,Doug O'Neill,Javier Castellano,1:11.660,SA 5/26 4,46,Into Mischief,
7/11/19,8,GRD-F,Schuylerville S.,6,Dirt,Kiss the Girl,8,3.80,FALSE,2,Todd Pletcher,John Velazquez,1:11.699,BEL 6/12 3,29,Into Mischief,
7/11/19,8,GRD-F,Schuylerville S.,6,Dirt,Shippy,1,1.10,TRUE,3,Doug O'Neill,Jose Ortiz,1:11.778,LRL 6/14 1,27,Midshipman,
7/11/19,8,GRD-F,Schuylerville S.,6,Dirt,Buxom Beast,7,13.20,FALSE,4,Gary Contessa,Joel Rosario,1:12.926,,,The Big Beast,
7/11/19,8,GRD-F,Schuylerville S.,6,Dirt,Integral,2,17.40,FALSE,5,Todd Pletcher,Luis Saez,1:12.966,GP 5/25 3,47,Algorithms,
7/11/19,8,GRD-F,Schuylerville S.,6,Dirt,Lula's Roadrunner,4,28.25,FALSE,6,"Edward Coletti, Jr.",Mychel Sanchez,1:13.441,PRX 6/24 1,17,Uptowncharlybrown,
7/11/19,8,GRD-F,Schuylerville S.,6,Dirt,His Glory,3,16.20,FALSE,7,Thomas Amoss,Jose Lezcano,1:14.470,IND 6/11 2,30,Mineshaft,
7/11/19,8,GRD-F,Schuylerville S.,6,Dirt,Lady Fatima,6,18.90,FALSE,8,Mark Casse,Dylan Davis,1:15.103,BEL 5/23 1,49,Bodemeister,
7/12/19,5,MSW-F,,5.5,Dirt,Vast,6,12.90,FALSE,1,William Mott,Junior Alvarado,1:04.670,,,Lea,
7/12/19,5,MSW-F,,5.5,Dirt,Good Shabbos,2,2.15,FALSE,2,Jeremiah Englehart,Luis Saez,1:04.747,MTH 6/1 2,41,Munnings,
7/12/19,5,MSW-F,,5.5,Dirt,Pure Wow,7,8.90,FALSE,3,John Terranova II,Dylan Davis,1:04.747,,,The Factor,
7/12/19,5,MSW-F,,5.5,Dirt,Lotta Ott,4,1.30,TRUE,4,Steven Asmussen,"Ricardo Santana, Jr.",1:05.059,,,Tapiture,
7/12/19,5,MSW-F,,5.5,Dirt,Bird Tycoon,5,25.00,FALSE,5,Ian Wilkes,Julien Leparoux,1:05.488,,,Graydar,
7/12/19,5,MSW-F,,5.5,Dirt,Drop a Hint,3,29.00,FALSE,6,D. Lukas,Tyler Gaffalione,1:05.683,,,Into Mischief,
7/12/19,5,MSW-F,,5.5,Dirt,Apurate,1,5.20,FALSE,7,Todd Pletcher,John Velazquez,1:05.839,,,Summer Front,
7/12/19,5,MSW-F,,5.5,Dirt,Mylastfirstkiss,8,21.60,FALSE,8,Anthony Quartarolo,Kendrick Carmouche,1:05.995,CD 6/21 1,21,Flatter,
7/13/19,3,GRD,Sanford S.,6,Dirt,By Your Side,5,1.40,TRUE,1,Eddie Kenneally,"Irad Ortiz, Jr.",1:10.220,CD 6/14 1,29,Constitution,
7/13/19,3,GRD,Sanford S.,6,Dirt,Tomato Bill,4,4.60,FALSE,2,Christophe Clement,Kendrick Carmouche,1:10.685,DEL 5/22 1,52,More Than Ready,
7/13/19,3,GRD,Sanford S.,6,Dirt,Raging Whiskey,2,3.35,FALSE,3,Doug O'Neill,Javier Castellano,1:10.956,SA 6/2 2,41,Bourbon Courage,
7/13/19,3,GRD,Sanford S.,6,Dirt,Cucina,3,3.30,FALSE,4,Mark Casse,Tyler Gaffalione,1:10.995,BEL 6/21 2,22,Northern Afleet,
7/13/19,3,GRD,Sanford S.,6,Dirt,Memorable,1,6.00,FALSE,5,Steven Asmussen,John Velazquez,1:11.887,BEL 6/7 7,36,Uncle Mo,
7/13/19,4,MSW,,5.5,Dirt,Zyramid,6,1.45,TRUE,1,Steven Asmussen,Manuel Franco,1:03.780,CD 6/8 1,35,City Zip,
7/13/19,4,MSW,,5.5,Dirt,Kickin' Kirby,4,19.10,FALSE,2,Nicholas Zito,Tyler Gaffalione,1:04.202,,,Dialed In,
7/13/19,4,MSW,,5.5,Dirt,Peddlers Pride,8,9.70,FALSE,3,William Mott,Junior Alvarado,1:04.625,,,Liam's Map,
7/13/19,4,MSW,,5.5,Dirt,High Tide,1,2.15,FALSE,4,Todd Pletcher,John Velazquez,1:04.933,,,Malibu Moon,
7/13/19,4,MSW,,5.5,Dirt,Hometown Pride,2,30.00,FALSE,5,Ian Wilkes,Chris Landeros,1:05.009,,,To Honor and Serve,
7/13/19,4,MSW,,5.5,Dirt,Vaya Con Dios,5,11.30,FALSE,6,Eric Guillot,Dylan Davis,1:05.432,,,Majesticperfection,
7/13/19,4,MSW,,5.5,Dirt,Irked,3,7.20,FALSE,7,William Mott,Jose Lezcano,1:05.855,,,War Front,
7/13/19,4,MSW,,5.5,Dirt,Pharoah Cat,7,9.50,FALSE,8,D. Lukas,Rajiv Maragh,1:06.470,CD 6/23 2,20,American Pharoah,
7/13/19,6,MSW,,8.5,Turf,Field Pass,2,2.95,FALSE,1,Michael Maker,Luis Saez,1:45.740,CD 6/21 3,22,Lemon Drop Kid,
7/13/19,6,MSW,,8.5,Turf,Decorated Invader,1,5.30,FALSE,2,Christophe Clement,"Irad Ortiz, Jr.",1:45.863,,,Declaration of War,
7/13/19,6,MSW,,8.5,Turf,Mr Jaggers,7,2.35,TRUE,3,William Mott,Junior Alvarado,1:46.069,,,Twirling Candy,
7/13/19,6,MSW,,8.5,Turf,Our Country,4,12.10,FALSE,4,George Weaver,Manuel Franco,1:46.193,,,Constitution,
7/13/19,6,MSW,,8.5,Turf,Enforceable,3,6.50,FALSE,5,Mark Casse,Tyler Gaffalione,1:46.358,CD 5/31 5,43,Tapit,
7/13/19,6,MSW,,8.5,Turf,Cardiac Kid,9,17.80,FALSE,6,Kenneth McPeek,Jose Lezcano,1:46.605,,,American Pharoah,
7/13/19,6,MSW,,8.5,Turf,Kokokomo,6,10.40,FALSE,7,Todd Pletcher,Javier Castellano,1:46.647,BEL 6/21 7,22,Uncle Mo,
7/13/19,6,MSW,,8.5,Turf,Mr Everything,5,12.20,FALSE,8,Wesley Ward,John Velazquez,1:46.647,GP 6/23 12,20,Mr Speaker,
7/13/19,6,MSW,,8.5,Turf,Cloudbased,8,16.00,FALSE,9,Claude McGaughey III,Dylan Davis,1:48.172,BEL 6/21 7,22,Orb,
7/14/19,1,MSW-F,,8.5,Turf,Sweet Melania,7,1.60,TRUE,1,Todd Pletcher,Jose Ortiz,1:45.870,MTH 6/1 2,43,American Pharoah,
7/14/19,1,MSW-F,,8.5,Turf,Morning Gold,8,10.40,FALSE,2,Kenneth McPeek,Dylan Davis,1:46.076,,,Morning Line,
7/14/19,1,MSW-F,,8.5,Turf,Lucky Jingle,1,8.80,FALSE,3,H. Motion,Rajiv Maragh,1:46.860,,,Tonalist,
7/14/19,1,MSW-F,,8.5,Turf,Pearlescent,2,4.10,FALSE,4,William Mott,Junior Alvarado,1:47.067,,,The Factor,
7/14/19,1,MSW-F,,8.5,Turf,Days of Spring,3,6.40,FALSE,5,Todd Pletcher,Manuel Franco,1:47.232,BEL 5/23 1,52,Uncle Mo,
7/14/19,1,MSW-F,,8.5,Turf,Miss Marissa,5,4.60,FALSE,6,James Ryerson,Luis Saez,1:47.273,BEL 6/20 5,24,He's Had Enough,
7/14/19,1,MSW-F,,8.5,Turf,Foreign Exchange,4,28.75,FALSE,7,D. Lukas,Joel Rosario,1:47.438,,,Congrats,
7/14/19,1,MSW-F,,8.5,Turf,Sign of the Times,6,11.20,FALSE,8,Wesley Ward,"Irad Ortiz, Jr.",1:48.512,GP 6/22 8,22,Animal Kingdom,
7/14/19,4,MSW-NY,,5.5,Dirt,Bank On Shea,4,2.55,FALSE,1,Jason Servis,"Irad Ortiz, Jr.",1:04.020,,,Central Banker,
7/14/19,4,MSW-NY,,5.5,Dirt,Blame the Cake,2,14.90,FALSE,2,Ian Wilkes,Javier Castellano,1:04.135,,,Blame,
7/14/19,4,MSW-NY,,5.5,Dirt,Macho Boy,3,9.00,FALSE,3,Gary Contessa,Joel Rosario,1:04.907,,,Mucho Macho Man,
7/14/19,4,MSW-NY,,5.5,Dirt,South Africa,7,6.90,FALSE,4,Michelle Nevin,Jose Ortiz,1:05.138,,,Will Take Charge,
7/14/19,4,MSW-NY,,5.5,Dirt,Kobe,6,33.50,FALSE,5,Gary Contessa,Chris Landeros,1:05.370,,,Japan,
7/14/19,4,MSW-NY,,5.5,Dirt,Titan's Will,1,8.10,FALSE,6,Jeremiah Englehart,Luis Saez,1:06.681,,,Congrats,
7/14/19,4,MSW-NY,,5.5,Dirt,Our Destiny,5,7.80,FALSE,7,Joseph Parker,Joey Martinez,1:07.299,BEL 5/31 2,44,Freud,
7/14/19,4,MSW-NY,,5.5,Dirt,No Salt,8,1.65,TRUE,8,William Mott,Junior Alvarado,1:08.340,,,Tonalist,
7/17/19,2,STK-NY,Rick Violette S.,6,Dirt,Sky of Hook,4,9.30,FALSE,1,Rudy Rodriguez,Luis Saez,1:13.170,BEL 5/10 5,68,Tapiture,
7/17/19,2,STK-NY,Rick Violette S.,6,Dirt,Listentoyourheart,2,2.25,FALSE,2,Christophe Clement,Manuel Franco,1:13.178,BEL 6/23 6,24,Afleet Alex,
7/17/19,2,STK-NY,Rick Violette S.,6,Dirt,Theitalianamerican,1,2.85,FALSE,3,Gary Contessa,Joel Rosario,1:14.018,BEL 6/7 7,40,Girolamo,
7/17/19,2,STK-NY,Rick Violette S.,6,Dirt,Mission Wrapitup,3,1.35,TRUE,4,Bruce Brown,Dylan Davis,1:14.099,BEL 5/31 2,47,Mission Impazible,
7/17/19,2,STAKES,Rick Violette S.,6,Dirt,Torres Del Paine,5,7.90,FALSE,5,H. Motion,Weston Hamilton,1:15.312,LRL 6/28 6,19,Karakontie,
7/17/19,5,MSW-F,,5.5,Dirt,Just Fly,5,2.10,TRUE,1,Joe Sharp,Luis Saez,1:05.240,CD 6/20 4,27,Justin Phillip,
7/17/19,5,MSW-F,,5.5,Dirt,Ain't None Lucky,1,6.80,FALSE,2,Lacey Gaudet,Johan Rosado,1:05.986,LRL 6/14 1,33,Candy Ride (ARG),
7/17/19,5,MSW-F,,5.5,Dirt,Project Whiskey,4,8.40,FALSE,3,"Robert Reid, Jr.",Kendrick Carmouche,1:06.026,,,Tapizar,
7/17/19,5,MSW-F,,5.5,Dirt,Double Down Dare,3,4.10,FALSE,4,Steve Klesaris,Jose Lezcano,1:06.144,PRX 6/24 1,23,Cross Traffic,
7/17/19,5,MSW-F,,5.5,Dirt,Devils Rendezvous,6,8.70,FALSE,5,Gary Contessa,Joel Rosario,1:06.222,,,Daredevil,
7/17/19,5,MSW-F,,5.5,Dirt,Raggedy Annie,7,9.60,FALSE,6,D. Lukas,Tyler Gaffalione,1:06.301,,,Union Rags,
7/17/19,5,MSW-F,,5.5,Dirt,Myawaya,2,3.65,FALSE,7,Todd Pletcher,John Velazquez,1:06.458,,,Wicked Strong,
7/17/19,5,MSW-F,,5.5,Dirt,Gabi's Tuff,8,26.50,FALSE,8,Gary Contessa,Joey Martinez,1:12.041,,,Teuflesberg,
7/17/19,10,MSW-NY-F,,5.5,Dirt,Violent Point,6,1.10,TRUE,1,Mark Casse,John Velazquez,1:05.020,BEL 6/22 4,25,Violence,
7/17/19,10,MSW-NY-F,,5.5,Dirt,Single Verse,3,12.10,FALSE,2,Bruce Brown,Tyler Gaffalione,1:05.960,,,Mineshaft,
7/17/19,10,MSW-NY-F,,5.5,Dirt,Darken a Day,4,5.50,FALSE,3,Gary Contessa,Joel Rosario,1:06.861,,,Emcee,
7/17/19,10,MSW-NY-F,,5.5,Dirt,Light in the Sky,2,3.55,FALSE,4,Linda Rice,Jose Ortiz,1:06.979,,,Tale of the Cat,
7/17/19,10,MSW-NY-F,,5.5,Dirt,American Song,1,4.00,FALSE,5,Jeremiah Englehart,Junior Alvarado,1:07.175,BEL 6/12 3,35,Maclean's Music,
7/17/19,10,MSW-NY-F,,5.5,Dirt,Apollo's Abraxas,5,13.40,FALSE,6,Kim Laudati,Benjamin Hernandez,1:09.917,BEL 6/30 4,17,Big Brown,
7/18/19,2,MSW,,5.5,Dirt,January Won,3,3.90,FALSE,1,Kenneth McPeek,Jose Ortiz,1:04.350,,,New Year's Day,
7/18/19,2,MSW,,5.5,Dirt,Beyond Gone,1,6.20,FALSE,2,Kenneth McPeek,Julien Leparoux,1:04.505,,,Can the Man,
7/18/19,2,MSW,,5.5,Dirt,Dan the Man Can,2,4.90,FALSE,3,Edward Barker,Manuel Franco,1:04.931,,,Can the Man,
7/18/19,2,MSW,,5.5,Dirt,Justintimeforwine,5,1.60,TRUE,4,Gary Contessa,Joel Rosario,1:05.513,BEL 6/23 6,25,Justin Phillip,
7/18/19,2,MSW,,5.5,Dirt,Jamflowman,6,3.15,FALSE,5,John Terranova II,Dylan Davis,1:05.552,,,Awesome of Course,
7/18/19,2,MSW,,5.5,Dirt,Ninth of April,4,15.30,FALSE,6,Edmund Davis,"Ricardo Santana, Jr.",1:06.793,,,Shanghai Bobby,
7/18/19,3,STK-NY-F,Stillwater S.,6,Dirt,My Italian Rabbi,4,8.90,FALSE,1,Jeremiah Englehart,Luis Saez,1:10.310,BEL 5/30 4,49,Competitive Edge,
7/18/19,3,STK-NY-F,Stillwater S.,6,Dirt,Fierce Lady,2,0.35,TRUE,2,Dermot Magner,Javier Castellano,1:10.317,BEL 6/22 4,26,Competitive Edge,
7/18/19,3,STK-NY-F,Stillwater S.,6,Dirt,Jewel of Arabia,1,5.70,FALSE,3,Christophe Clement,Joel Rosario,1:10.543,,,Daredevil,
7/18/19,3,STK-NY-F,Stillwater S.,6,Dirt,Classy Sadie,3,12.90,FALSE,4,Gary Contessa,Eric Cancel,1:11.125,BEL 6/20 5,28,Emcee,
7/18/19,3,STK-NY-F,Stillwater S.,6,Dirt,Time Limit,5,6.10,FALSE,5,Michael Maker,Jose Ortiz,1:12.795,BEL 6/23 2,25,Bustin Stones,
7/18/19,5,MSW-NY,,5.5,Dirt,City Man,8,1.25,TRUE,1,Christophe Clement,Joel Rosario,1:04.660,,,Mucho Macho Man,
7/18/19,5,MSW-NY,,5.5,Dirt,Shandian,5,6.40,FALSE,2,Gary Contessa,Javier Castellano,1:05.127,BEL 6/21 2,27,Emcee,
7/18/19,5,MSW-NY,,5.5,Dirt,Turbo Drive,1,8.20,FALSE,3,Michael Maker,Jose Ortiz,1:05.322,BEL 6/21 2,27,Teuflesberg,
7/18/19,5,MSW-NY,,5.5,Dirt,Imperio D,6,53.00,FALSE,4,Rudy Rodriguez,Luis Reyes,1:05.400,,,Frost Giant,
7/18/19,5,MSW-NY,,5.5,Dirt,Fly Fly Away,9,8.10,FALSE,5,Christophe Clement,"Irad Ortiz, Jr.",1:05.556,,,First Samurai,
7/18/19,5,MSW-NY,,5.5,Dirt,Barleewon,4,6.10,FALSE,6,Michael Stidham,John Velazquez,1:05.906,,,Animal Kingdom,
7/18/19,5,MSW-NY,,5.5,Dirt,Diannesimpazible,2,12.30,FALSE,7,Rudy Rodriguez,Manuel Franco,1:06.023,,,Mission Impazible,
7/18/19,5,MSW-NY,,5.5,Dirt,Power Up Paynter,3,6.70,FALSE,8,Linda Rice,Jose Lezcano,1:06.062,,,Paynter,
7/18/19,5,MSW-NY,,5.5,Dirt,Tapizearance,7,23.60,FALSE,9,Gary Contessa,Chris Landeros,1:06.647,,,Tapizar,
7/19/19,5,MSW-F,,6,Dirt,Sweet Kisses,7,2.75,FALSE,1,Jeremiah Englehart,Jose Ortiz,1:09.780,BEL 6/12 3,37,Carpe Diem,
7/19/19,5,MSW-F,,6,Dirt,Finite,5,3.55,FALSE,2,Steven Asmussen,"Ricardo Santana, Jr.",1:10.126,,,Munnings,
7/19/19,5,MSW-F,,6,Dirt,Mrs. Danvers,6,2.60,TRUE,3,Claude McGaughey III,Joel Rosario,1:10.126,,,Tapit,
7/19/19,5,MSW-F,,6,Dirt,Kiawah Sunset,2,4.50,FALSE,4,Wesley Ward,"Irad Ortiz, Jr.",1:10.435,CD 6/20 4,29,Uncle Mo,
7/19/19,5,MSW-F,,6,Dirt,Inveterate,3,5.90,FALSE,5,Dermot Magner,Tyler Gaffalione,1:10.628,,,Palace Malice,
7/19/19,5,MSW-F,,6,Dirt,Cat's Pajamas,1,15.20,FALSE,6,William Mott,Junior Alvarado,1:11.206,,,Street Sense,
7/19/19,5,MSW-F,,6,Dirt,Larry's Baby,4,20.80,FALSE,7,D. Lukas,Luis Saez,1:13.711,,,Majesticperfection,
7/21/19,7,MSW-F,,5.5,Turf,Fly So Pretty,1,5.60,FALSE,1,Mark Casse,Javier Castellano,1:02.940,CD 6/20 4,31,Sky Mesa,
7/21/19,7,MSW-F,,5.5,Turf,Sequin,10,2.00,TRUE,2,Wesley Ward,Tyler Gaffalione,1:02.977,,,Bayern,
7/21/19,7,MSW-F,,5.5,Turf,Sharing,2,10.10,FALSE,3,H. Motion,Manuel Franco,1:02.977,,,Speightstown,
7/21/19,7,MSW-F,,5.5,Turf,Queen of Shades,8,6.40,FALSE,4,Jason Servis,"Irad Ortiz, Jr.",1:03.091,MTH 6/1 2,50,Midshipman,
7/21/19,7,MSW-F,,5.5,Turf,Giggle Factory,9,65.00,FALSE,5,Thomas Albertrani,Luis Reyes,1:03.584,,,The Factor,
7/21/19,7,MSW-F,,5.5,Turf,Mom's Pass,7,3.50,FALSE,6,Steven Asmussen,"Ricardo Santana, Jr.",1:03.622,CD 6/20 4,31,Point of Entry,
7/21/19,7,MSW-F,,5.5,Turf,Meritaten,5,4.50,FALSE,7,"Albert Stall, Jr.",Jose Ortiz,1:03.660,,,War Front,
7/21/19,7,MSW-F,,5.5,Turf,Ill Will,6,26.75,FALSE,8,Gary Contessa,Chris Landeros,1:03.736,,,Palace Malice,
7/21/19,7,MSW-F,,5.5,Turf,Miss My Macho,4,65.75,FALSE,9,Katherine Ritvo,Kendrick Carmouche,1:03.736,,,Mucho Macho Man,
7/21/19,7,MSW-F,,5.5,Turf,Crack of Dawn,3,49.50,FALSE,10,Philip Serpe,Junior Alvarado,1:03.812,,,Bernardini,
7/21/19,8,MSW,,6,Dirt,Basin,6,2.00,FALSE,1,Steven Asmussen,"Ricardo Santana, Jr.",1:09.770,CD 6/14 1,37,Liam's Map,
7/21/19,8,MSW,,6,Dirt,Three Technique,2,1.75,TRUE,2,Jeremiah Englehart,Jose Ortiz,1:09.962,BEL 6/14 5,37,Mr Speaker,
7/21/19,8,MSW,,6,Dirt,Lucky Curlin,10,11.70,FALSE,3,Mark Casse,Tyler Gaffalione,1:10.964,CD 6/14 1,37,Curlin,
7/21/19,8,MSW,,6,Dirt,Mr Thrifty,7,6.80,FALSE,4,"Robert Reid, Jr.",Kendrick Carmouche,1:11.542,PRX 6/25 5,26,Poseidon's Warrior,
7/21/19,8,MSW,,6,Dirt,Eagles Palace,4,23.20,FALSE,5,William Mott,Junior Alvarado,1:11.542,,,Palace Malice,
7/21/19,8,MSW,,6,Dirt,Yankee Empire,3,6.70,FALSE,6,John Kimmel,Chris Landeros,1:11.774,BEL 6/14 5,37,Cairo Prince,
7/21/19,8,MSW,,6,Dirt,American Butterfly,5,20.70,FALSE,7,D. Lukas,Joel Rosario,1:12.236,,,American Pharoah,
7/21/19,8,MSW,,6,Dirt,Excession,9,26.00,FALSE,8,Steven Asmussen,Manuel Franco,1:12.583,,,Union Rags,
7/21/19,8,MSW,,6,Dirt,Federale,1,51.50,FALSE,9,Philip Gleaves,Dylan Davis,1:12.853,BEL 6/7 7,44,Discreetly Mine,
7/21/19,8,MSW-F,,6,Dirt,He's Super Lucky,8,47.50,FALSE,10,Katherine Ritvo,Rajiv Maragh,1:15.050,,,Super Saver,
7/24/19,3,MSW-NY-F,,7,Dirt,Sky Kitten,5,7.80,FALSE,1,David Donk,Manuel Franco,1:26.970,,,Sky Mesa,
7/24/19,3,MSW-NY-F,,7,Dirt,Jen's Battle,1,2.55,FALSE,2,Gary Contessa,Joel Rosario,1:27.134,BEL 6/23 2,31,Declaration of War,
7/24/19,3,MSW-NY-F,,7,Dirt,Beyond Brown,8,2.40,TRUE,3,David Donk,John Velazquez,1:27.670,BEL 6/22 4,32,Big Brown,
7/24/19,3,MSW-NY-F,,7,Dirt,Adriatic Holiday,6,2.75,FALSE,4,Barclay Tagg,Junior Alvarado,1:27.875,,,Central Banker,
7/24/19,3,MSW-NY-F,,7,Dirt,Dustinthewind,7,39.00,FALSE,5,Edmund Davis,Heman Harkie,1:28.452,BEL 6/22 4,32,Mission Impazible,
7/24/19,3,MSW-NY-F,,7,Dirt,Lil Morning Star,2,39.00,FALSE,6,Kim Laudati,Joey Martinez,1:29.028,BEL 6/20 5,34,Central Banker,
7/24/19,3,MSW-NY-F,,7,Dirt,More Than Silver,4,22.00,FALSE,7,Leah Gyarmati,Rajiv Maragh,1:29.111,,,More Than Ready,
7/24/19,3,MSW-NY-F,,7,Dirt,Mazal Eighteen,3,5.60,FALSE,8,Danny Gargan,Kendrick Carmouche,1:29.276,,,Will Take Charge,
7/24/19,6,MSW,,5.5,Dirt,Another Miracle,1,2.35,FALSE,1,Gary Contessa,Manuel Franco,1:03.330,BEL 7/4 5,20,American Pharoah,
7/24/19,6,MSW,,5.5,Dirt,Irish Mias,2,9.20,FALSE,2,H. Motion,Rajiv Maragh,1:03.520,,,Sky Mesa,
7/24/19,6,MSW,,5.5,Dirt,Close Shave,4,6.70,FALSE,3,H. Motion,John Velazquez,1:03.940,,,Uncle Mo,
7/24/19,6,MSW,,5.5,Dirt,Hemlock,6,0.80,TRUE,4,William Mott,Junior Alvarado,1:04.131,,,Into Mischief,
7/24/19,6,MSW,,5.5,Dirt,Blackberry Wine,3,12.50,FALSE,5,Joe Sharp,Luis Saez,1:05.161,,,Oxbow,
